date,case
2020-01-20,1 
2020-01-21,0 
2020-01-22,0 
2020-01-23,0 
2020-01-24,1 
2020-01-25,0 
2020-01-26,1 
2020-01-27,1 
2020-01-28,0 
2020-01-29,0 
2020-01-30,3 
2020-01-31,4 
2020-02-01,1 
2020-02-02,3 
2020-02-03,0 
2020-02-04,1 
2020-02-05,5 
2020-02-06,3 
2020-02-07,0 
2020-02-08,0 
2020-02-09,3 
2020-02-10,1 
2020-02-11,0 
2020-02-12,0 
2020-02-13,0 
2020-02-14,0 
2020-02-15,0 
2020-02-16,2 
2020-02-17,0 
2020-02-18,2 
2020-02-19,34 
2020-02-20,16 
2020-02-21,74 
2020-02-22,190 
2020-02-23,210 
2020-02-24,207 
2020-02-25,130 
2020-02-26,253 
2020-02-27,449 
2020-02-28,427 
2020-02-29,909 
2020-03-01,595 
2020-03-02,686 
2020-03-03,600 
2020-03-04,516 
2020-03-05,438 
2020-03-06,518 
2020-03-07,483 
2020-03-08,367 
2020-03-09,248 
2020-03-10,131 
2020-03-11,242 
2020-03-12,114 
2020-03-13,110 
2020-03-14,107 
2020-03-15,76 
2020-03-16,74 
2020-03-17,84 
2020-03-18,93 
2020-03-19,152 
2020-03-20,87 
2020-03-21,147 
2020-03-22,98 
2020-03-23,64 
2020-03-24,76 
2020-03-25,100 
2020-03-26,104 
2020-03-27,91 
2020-03-28,146 
2020-03-29,105 
2020-03-30,78 
2020-03-31,125 
2020-04-01,101 
2020-04-02,89 
2020-04-03,86 
2020-04-04,94 
2020-04-05,81 
2020-04-06,47 
2020-04-07,47 
2020-04-08,53 
2020-04-09,39 
2020-04-10,27 
2020-04-11,30 
2020-04-12,32 
2020-04-13,25 
2020-04-14,27 
2020-04-15,27 
2020-04-16,22 
2020-04-17,22 
2020-04-18,18 
2020-04-19,8 
2020-04-20,13 
2020-04-21,9 
2020-04-22,11 
2020-04-23,8 
2020-04-24,6 
2020-04-25,10 
2020-04-26,10 
2020-04-27,10 
2020-04-28,14 
2020-04-29,9 
2020-04-30,4 
2020-05-01,9 
2020-05-02,6 
2020-05-03,13 
2020-05-04,8 
2020-05-05,3 
2020-05-06,2 
2020-05-07,4 
2020-05-08,12 
2020-05-09,18 
2020-05-10,34 
2020-05-11,35 
2020-05-12,27 
2020-05-13,26 
2020-05-14,29 
2020-05-15,27 
2020-05-16,19 
2020-05-17,13 
2020-05-18,15 
2020-05-19,13 
2020-05-20,32 
2020-05-21,12 
2020-05-22,20 
2020-05-23,23 
2020-05-24,25 
2020-05-25,16 
2020-05-26,19 
2020-05-27,40 
2020-05-28,79 
2020-05-29,58 
2020-05-30,39 
2020-05-31,27 
2020-06-01,35 
2020-06-02,38 
2020-06-03,49 
2020-06-04,39 
2020-06-05,39 
2020-06-06,51 
2020-06-07,57 
2020-06-08,37 
2020-06-09,38 
2020-06-10,50 
2020-06-11,45 
2020-06-12,56 
2020-06-13,48 
2020-06-14,34 
2020-06-15,37 
2020-06-16,34 
2020-06-17,43 
2020-06-18,59 
2020-06-19,49 
2020-06-20,67 
2020-06-21,48 
2020-06-22,17 
2020-06-23,46 
2020-06-24,51 
2020-06-25,28 
2020-06-26,39 
2020-06-27,51 
2020-06-28,62 
2020-06-29,42 
2020-06-30,42 
2020-07-01,51 
2020-07-02,54 
2020-07-03,61 
2020-07-04,63 
2020-07-05,61 
2020-07-06,48 
2020-07-07,44 
2020-07-08,62 
2020-07-09,50 
2020-07-10,45 
2020-07-11,35 
2020-07-12,44 
2020-07-13,62 
2020-07-14,33 
2020-07-15,39 
2020-07-16,61 
2020-07-17,60 
2020-07-18,39 
2020-07-19,34 
2020-07-20,26 
2020-07-21,45 
2020-07-22,63 
2020-07-23,59 
2020-07-24,41 
2020-07-25,113 
2020-07-26,58 
2020-07-27,25 
2020-07-28,28 
2020-07-29,48 
2020-07-30,18 
2020-07-31,36 
2020-08-01,31 
2020-08-02,30 
2020-08-03,23 
2020-08-04,34 
2020-08-05,33 
2020-08-06,43 
2020-08-07,20 
2020-08-08,43 
2020-08-09,36 
2020-08-10,28 
2020-08-11,34 
2020-08-12,54 
2020-08-13,56 
2020-08-14,103 
2020-08-15,166 
2020-08-16,279 
2020-08-17,197 
2020-08-18,246 
2020-08-19,297 
2020-08-20,288 
2020-08-21,324 
2020-08-22,332 
2020-08-23,396 
2020-08-24,266 
2020-08-25,280 
2020-08-26,320 
2020-08-27,441 
2020-08-28,371 
2020-08-29,323 
2020-08-30,299 
2020-08-31,248 
2020-09-01,235 
2020-09-02,267 
2020-09-03,195 
2020-09-04,198 
2020-09-05,168 
2020-09-06,167 
2020-09-07,119 
2020-09-08,136 
2020-09-09,156 
2020-09-10,155 
2020-09-11,176 
2020-09-12,136 
2020-09-13,121 
2020-09-14,109 
2020-09-15,106 
2020-09-16,113 
2020-09-17,153 
2020-09-18,126 
2020-09-19,110 
2020-09-20,82 
2020-09-21,70 
2020-09-22,61 
2020-09-23,110 
2020-09-24,125 
2020-09-25,114 
2020-09-26,61 
2020-09-27,95 
2020-09-28,50 
2020-09-29,38 
2020-09-30,113 
2020-10-01,77 
2020-10-02,63 
2020-10-03,75 
2020-10-04,64 
2020-10-05,73 
2020-10-06,75 
2020-10-07,114 
2020-10-08,69 
2020-10-09,54 
2020-10-10,72 
2020-10-11,58 
2020-10-12,98 
2020-10-13,91 
2020-10-14,84 
2020-10-15,110 
2020-10-16,47 
2020-10-17,73 
2020-10-18,91 
2020-10-19,76 
2020-10-20,58 
2020-10-21,89 
2020-10-22,121 
2020-10-23,155 
2020-10-24,77 
2020-10-25,61 
2020-10-26,119 
2020-10-27,88 
2020-10-28,103 
2020-10-29,125 
2020-10-30,113 
2020-10-31,127 
2020-11-01,124 
2020-11-02,97 
2020-11-03,75 
2020-11-04,117 
2020-11-05,125 
2020-11-06,145 
2020-11-07,89 
2020-11-08,143 
2020-11-09,126 
2020-11-10,100 
2020-11-11,145 
2020-11-12,143 
2020-11-13,191 
2020-11-14,205 
2020-11-15,208 
2020-11-16,222 
2020-11-17,230 
2020-11-18,285 
2020-11-19,325 
2020-11-20,348 
2020-11-21,386 
2020-11-22,330 
2020-11-23,271 
2020-11-24,349 
2020-11-25,382 
2020-11-26,581 
2020-11-27,555 
2020-11-28,503 
2020-11-29,450 
2020-11-30,438 
2020-12-01,451 
2020-12-02,511 
2020-12-03,540 
2020-12-04,628 
2020-12-05,577 
2020-12-06,631 
2020-12-07,615 
2020-12-08,587 
2020-12-09,670 
2020-12-10,680 
2020-12-11,689 
2020-12-12,950 
2020-12-13,1030 
2020-12-14,718 
2020-12-15,880 
2020-12-16,1078 
2020-12-17,1014 
2020-12-18,1064 
2020-12-19,1045 
2020-12-20,1097 
2020-12-21,924 
2020-12-22,866 
2020-12-23,1090 
2020-12-24,985 
2020-12-25,1240 
2020-12-26,1131 
2020-12-27,970 
2020-12-28,806 
2020-12-29,1044 
2020-12-30,1050 
2020-12-31,967 
